"Population using safely managed drinking-water services (%)"
"Dimension: Socio-economic sustainability"
"SDG 6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all"
"Definition: Percentage of the population drinking water from an improved source that is accessible on premises, available when needed and free from faecal and priority chemical contamination. Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water"
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"7"," Sweden","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"2"," Switzerland","93","","93","","93","","93","","93","","93","","94","","94","","94","","94","","94","","95","","95","","95","","95","","95","","95","","95",""
"125"," Tajikistan","35","","36","","38","","39","","40","","42","","43","","44","","45","","46","","46","","46","","47","","47","","47","","47","","48","","48",""
"95"," Tunisia","41","","45","","50","","54","","59","","63","","68","","72","","77","","82","","86","","91","","91","","92","","92","","92","","92","","93",""
"111"," Turkmenistan","66","","67","","68","","70","","71","","73","","75","","77","","79","","81","","83","","85","","87","","89","","90","","92","","93","","94",""
"159"," Uganda","5","","5","","5","","5","","5","","5","","6","","6","","6","","6","","6","","6","","6","","7","","7","","7","","7","","7",""
"74"," Ukraine","66","","66","","66","","66","","69","","71","","74","","77","","79","","82","","85","","87","","90","","92","","92","","92","","92","","92",""
"13"," United Kingdom","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"17"," United States","..","","..","","..","","..","","..","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"106"," Uzbekistan","56","","56","","57","","57","","57","","57","","57","","57","","58","","58","","58","","59","","59","","59","","59","","59","","59","","59",""
"140"," Vanuatu","40","","40","","40","","40","","40","","40","","40","","41","","41","","41","","42","","42","","43","","43","","43","","44","","44","","44",""
"169"," Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"148"," Angola","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"31"," United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"46"," Argentina","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
