"Population using safely managed sanitation services (%)"
"Dimension: Socio-economic sustainability"
"SDG 6.2 By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations"
"Definition: Percentage of the population using an improved sanitation facility that is not shared with other households and where excreta are safely disposed of in situ or treated off site. Improved sanitation facilities include flush/pour flush toilets connected to piped sewer systems, septic tanks or pit latrines; pit latrines with slabs (including ventilated pit latrines, and composting toilets."
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"45"," Qatar","86","","86","","86","","86","","86","","86","","86","","86","","86","","87","","88","","90","","91","","92","","93","","94","","95","","96",""
"49"," Romania","..","","54","","54","","54","","55","","56","","57","","59","","60","","62","","63","","65","","67","","69","","70","","72","","74","","77",""
"52"," Russian Federation","55","","55","","56","","56","","56","","57","","57","","57","","58","","58","","59","","59","","59","","60","","60","","61","","61","","61",""
"111"," Samoa","49","","49","","49","","49","","50","","50","","50","","50","","50","","49","","49","","49","","49","","49","","49","","49","","49","","48",""
".."," San Marino","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77","","77",""
"40"," Saudi Arabia","68","","68","","68","","69","","69","","70","","70","","71","","72","","72","","73","","74","","74","","75","","76","","76","","77","","78",""
"168"," Senegal","14","","15","","15","","15","","16","","16","","16","","16","","17","","17","","17","","18","","19","","19","","20","","20","","21","","21",""
"64"," Serbia","29","","29","","28","","28","","27","","27","","26","","26","","26","","25","","25","","25","","25","","24","","24","","24","","25","","25",""
"182"," Sierra Leone","9","","9","","9","","9","","10","","10","","10","","10","","11","","11","","11","","12","","12","","12","","12","","13","","13","","13",""
"11"," Singapore","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"39"," Slovakia","84","","84","","84","","84","","84","","84","","84","","84","","83","","83","","83","","83","","83","","83","","83","","83","","83","","83",""
"22"," Slovenia","74","","75","","75","","75","","75","","76","","77","","77","","78","","79","","79","","80","","81","","82","","82","","83","","83","","83",""
"25"," Spain","94","","94","","94","","94","","94","","95","","95","","95","","95","","95","","96","","96","","96","","96","","96","","97","","97","","97",""
"7"," Sweden","92","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93",""
"2"," Switzerland","98","","98","","98","","98","","98","","98","","99","","99","","99","","99","","99","","99","","99","","99","","100","","100","","100","","100",""
"163"," Tanzania (United Republic of)","4","","5","","7","","8","","9","","11","","12","","14","","15","","16","","18","","19","","20","","21","","22","","23","","24","","25",""
"95"," Tunisia","59","","59","","60","","61","","63","","64","","65","","66","","68","","69","","70","","71","","73","","74","","75","","77","","78","","78",""
"54"," Turkey","53","","53","","54","","54","","55","","56","","57","","58","","59","","60","","61","","61","","62","","63","","64","","65","","65","","65",""
".."," Tuvalu","..","","5","","5","","5","","5","","5","","5","","5","","6","","6","","6","","6","","6","","7","","6","","6","","6","","6",""
"74"," Ukraine","42","","42","","43","","43","","44","","44","","45","","45","","45","","48","","51","","54","","56","","59","","62","","64","","66","","68",""
"31"," United Arab Emirates","90","","90","","90","","90","","91","","91","","92","","92","","93","","93","","93","","94","","94","","95","","95","","95","","96","","96",""
"13"," United Kingdom","97","","97","","97","","97","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"17"," United States","88","","88","","88","","89","","89","","89","","89","","89","","89","","89","","89","","89","","90","","90","","90","","90","","90","","90",""
"113"," Venezuela (Bolivarian Republic of)","..","","..","","..","","..","","..","","28","","28","","28","","27","","27","","26","","26","","25","","24","","24","","24","","24","","24",""
"169"," Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
